Project ID,ISO,Queue Date,Status,Withdrawn Date,Proposed Date,Study Cycle,Study Phase,POI Name,Transmission Owner,MW Capacity,Fuel Type
AG2-152,PJM,2021-02-23,Active,,,TC2,PHASE 2,Banister-Bear Skin 138 kV,AEP,79.00,Solar
AG2-272,PJM,2021-03-19,Active,,,TC2,PHASE 2,Berry Hill 138 kV,AEP,21.30,Storage
AG1-539,PJM,2020-09-30,Withdrawn,2024-06-24,2024-10-01,TC1,PHASE 1,Grit DP-Perth 115 kV,Dominion,32.00,Storage
AG1-547,PJM,2020-09-30,Withdrawn,2024-06-24,2024-10-01,TC1,PHASE 1,Mount Airy-Chatham 69 kV,Dominion,32.54,Hybrid
AH1-071,PJM,2021-07-29,Active,,,TC2,PHASE 2,Midlothian 34.5 kV,Dominion,12.00,Solar
AH1-377,PJM,2021-09-10,Withdrawn,2025-11-21,2028-10-01,TC2,Decision Point 1,Clover- Farmville 230kV,Dominion,111.60,Solar
AH1-731,PJM,,Withdrawn,2025-05-02,2028-05-05,TC2,RRI APPLICATION REVIEW,,Dominion,107.00,Storage
AH1-750,PJM,,Withdrawn,2025-05-02,2029-11-10,TC2,RRI APPLICATION REVIEW,,Dominion,100.00,Storage
AG2-198,PJM,2021-02-28,Active,,,TC2,PHASE 2,Briery - Finneywood 230 kV,Dominion,48.00,Solar
AG2-566,PJM,2021-03-31,Active,,,TC2,PHASE 2,Briery - Finneywood 230 kV,Dominion,12.00,Storage
AF2-171,PJM,2020-03-19,Withdrawn,2025-01-22,2022-03-31,TC1,PHASE 1,Madisonville 115 kV,Dominion,90.00,Solar
AG2-095,PJM,2021-01-28,Active,,,TC2,PHASE 2,Hopewell 34.5 kV (Circuit 313),Dominion,10.80,Solar
AG2-093,PJM,2021-01-26,Withdrawn,2025-12-03,2029-12-01,TC2,Decision Point 1,"Spruance Genco, LLC",Dominion,100.00,Hybrid
AH1-732,PJM,,Withdrawn,2025-05-02,2028-04-30,TC2,RRI APPLICATION REVIEW,,Dominion,50.00,Storage
AH1-741,PJM,,Withdrawn,2025-05-02,2030-12-31,TC2,RRI APPLICATION REVIEW,,Dominion,97.00,Thermal
AH1-696,PJM,2025-04-07,Active,,2030-06-01,TC2,PHASE 2,Possum Point 230kV,Dominion,94.00,Thermal
AG2-284,PJM,2021-03-22,Withdrawn,2025-07-03,2023-12-31,TC2,PHASE 1,Catharpin 230 kV,Dominion,150.00,Storage
AG2-304,PJM,2021-03-23,Withdrawn,2025-11-06,2028-12-31,TC2,Decision Point 1,Liberty 230 kV,Dominion,150.00,Storage
AH1-269,PJM,2021-09-09,Active,,,TC2,PHASE 2,Claytor 138 kV,AEP,50.00,Storage
AG1-536,PJM,2020-09-30,Done,,2031-05-31,TC1,FINAL AGREEMENT,Garner-Northern Neck 115 kV,Dominion,32.00,Storage
AF2-120,PJM,2020-02-28,Done,,2031-05-31,TC1,FINAL AGREEMENT,Garner-Northern Neck 115 kV,Dominion,37.20,Solar
AG1-135,PJM,2020-09-03,Done,,2031-03-01,TC1,FINAL AGREEMENT,Garner-Lancaster 115 kV,Dominion,36.00,Solar
AG2-310,PJM,2021-03-23,Withdrawn,2025-12-02,2031-07-01,TC2,Decision Point 1,Matt Funk 138 kV,AEP,70.00,Storage
AG1-556,PJM,2020-09-30,Withdrawn,2024-06-24,2024-06-01,TC1,PHASE 1,Lexington 115 kV,Dominion,100.00,Storage
AG2-080,PJM,2021-01-21,Withdrawn,2025-07-07,2024-06-01,TC2,PHASE 1,Lexington 115 kV,Dominion,78.00,Storage
AG2-528,PJM,2021-03-31,Withdrawn,2025-06-06,2024-10-31,TC2,PHASE 1,Bustleburg Tap - Fairfield DP 115 kV,Dominion,72.80,Hybrid
AG2-542,PJM,2021-03-31,Withdrawn,2025-03-31,2024-06-03,TC2,APPLICATION REVIEW,North Shenandoah – Merck 115 kV,Dominion,42.00,Hybrid
AG1-151,PJM,2020-09-10,Withdrawn,2024-06-24,2023-10-30,TC1,PHASE 1,Endless Caverns 115 kV,Dominion,100.00,Storage
AG1-346,PJM,2020-09-30,Withdrawn,2025-01-22,2022-12-01,TC1,PHASE 2,Mount Jackson DP 115 kV,Dominion,12.00,Solar
AG2-086,PJM,2021-01-22,Active,,,TC2,PHASE 2,Mt. Jackson DP-Mt. Jackson 115 kV,Dominion,45.00,Hybrid
AH1-179,PJM,2021-08-31,Withdrawn,2025-04-09,2022-12-31,TC2,PHASE 1,Edinburg - Woodstock DP 34.5 kV,Dominion,12.00,Solar
AH1-743,PJM,,Withdrawn,2025-05-02,2029-04-30,TC2,RRI APPLICATION REVIEW,,APS,255.00,Thermal
AG2-360,PJM,2021-03-26,Active,,,TC2,PHASE 2,Broadford 138 kV,AEP,250.00,Storage
AG1-343,PJM,2020-09-30,Withdrawn,2025-01-22,2023-12-01,TC1,PHASE 2,Boykins-Murphy 115 kV,Dominion,35.00,Hybrid
AG1-394,PJM,2020-09-30,Withdrawn,2025-11-03,2022-03-01,TC1,PHASE 3,Boykins 34.5 kV,Dominion,5.00,Solar
AG1-133,PJM,2020-09-02,Withdrawn,2024-06-24,2024-12-01,TC1,PHASE 1,North Anna-Ladysmith 500 kV,Dominion,76.80,Solar
AH1-251,PJM,2021-09-09,Active,,,TC2,PHASE 2,Todds Tavern- Spotsylvania/Goldsdale 115kV,Dominion,50.00,Storage
AH1-263,PJM,2021-09-09,Active,,,TC2,PHASE 2,Chancellor 115 kV,Dominion,200.00,Storage
AG2-661,PJM,2021-03-31,Active,,,TC2,PHASE 2,Hopewell - Colonial Trail 230 kV,Dominion,20.00,Hybrid
AH1-324,PJM,2021-09-10,Withdrawn,2025-12-03,2030-12-31,TC2,Decision Point 1,Colonial Trail - Surry 230 kV,Dominion,48.00,Solar
AH1-717,PJM,2025-04-10,Withdrawn,2025-11-26,2031-12-31,TC2,Decision Point 1,Gravel Neck 230 kV,Dominion,92.70,Thermal
AG1-011,PJM,2020-05-08,Withdrawn,2024-06-24,2022-06-30,TC1,PHASE 1,Colonial Trail 230 kV,Dominion,160.00,Storage
AG1-174,PJM,2020-09-16,Withdrawn,2024-06-24,2021-10-15,TC1,PHASE 1,Hopewell-Surry 230 kV,Dominion,12.00,Solar
AF2-065,PJM,2020-01-30,Withdrawn,2024-06-24,2021-10-21,TC1,PHASE 1,Surry-Hopewell 230 kV,Dominion,76.50,Solar
AE2-270,PJM,2019-03-28,Withdrawn,2024-06-24,2021-09-29,TC1,PHASE 1,Hopewell-Surry 230 kV,Dominion,150.00,Hybrid
AG1-178,PJM,2020-09-17,Withdrawn,2024-06-24,2023-06-30,TC1,PHASE 1,Carson-Suffolk 500 kV,Dominion,324.94,Solar
AG1-179,PJM,2020-09-17,Withdrawn,2024-06-24,2023-06-30,TC1,PHASE 1,Brunswick-Gasburg 69 kV,Dominion,33.66,Solar
AG1-180,PJM,2020-09-17,Withdrawn,2024-06-24,2023-06-30,TC1,PHASE 1,Brunswick-Gasburg 69 kV,Dominion,16.40,Storage
AG1-184,PJM,2020-09-17,Withdrawn,2024-06-24,2023-06-30,TC1,PHASE 1,Carson-Suffolk 500 kV,Dominion,175.06,Storage
AG2-338,PJM,2021-03-25,Withdrawn,2025-12-02,2029-10-31,TC2,Decision Point 1,Rogers Road - Carson 500 kV,Dominion,40.00,Storage
AG2-339,PJM,2021-03-25,Active,,,TC2,PHASE 2,Rogers Road - Carson 500 kV,Dominion,85.00,Storage
AG2-436,PJM,2021-03-30,Active,,,TC2,PHASE 2,Carson - Rogers Road 500 kV,Dominion,140.00,Solar
AG2-426,PJM,2021-03-30,Active,,,TC2,PHASE 2,Wakefield - Waverly 115 kV,Dominion,33.50,Hybrid
AG2-427,PJM,2021-03-30,Withdrawn,2025-12-02,2028-04-30,TC2,Decision Point 1,Waverly 115 kV,Dominion,66.30,Hybrid
AG2-428,PJM,2021-03-30,Withdrawn,2025-12-02,2028-04-30,TC2,Decision Point 1,Wakefield 115 kV,Dominion,135.70,Hybrid
AH1-461,PJM,2021-09-10,Active,,,TC2,PHASE 2,Buckhorn 138 kV,AEP,80.00,Storage
AH1-133,PJM,2021-08-23,Active,,,TC2,PHASE 2,Saltville - Tazewell 138 kV,AEP,29.40,Solar
AH1-747,PJM,,Withdrawn,2025-05-02,2029-06-11,TC2,RRI APPLICATION REVIEW,,Dominion,300.00,Storage
AH1-227,PJM,2021-09-08,Active,,,TC2,PHASE 2,Flemming - Fremont 69 kV,AEP,30.78,Solar
AH1-348,PJM,2021-09-10,Active,,,TC2,PHASE 2,Pound 34.5 kV,AEP,6.00,Solar
AG2-462,PJM,2021-03-30,Withdrawn,2025-06-09,2024-10-31,TC2,PHASE 1,Progress Park - Glen Lyn 138 kV,AEP,78.00,Hybrid
AH1-157,PJM,2021-08-31,Withdrawn,2025-11-19,2027-12-01,TC2,Decision Point 1,Penniman - Waller 230 kV,Dominion,100.00,Storage
AG1-359,PJM,2020-09-30,Withdrawn,2024-06-24,2024-12-01,TC1,PHASE 1,Fentress 230 kV,Dominion,127.50,Storage
AG1-364,PJM,2020-09-30,Withdrawn,2024-06-24,2023-11-30,TC1,PHASE 1,Deep Creek 115 kV,Dominion,40.00,Storage
AE2-156,PJM,2019-03-15,Done,,2031-03-31,TC1,FINAL AGREEMENT,Yadkin 115 kV,Dominion,100.00,Storage
AF1-123,PJM,2019-09-17,Done,,2032-12-31,TC1,FINAL AGREEMENT,Harper 230 kV,Dominion,253.20,Wind
AF1-124,PJM,2019-09-17,Done,,2032-12-31,TC1,FINAL AGREEMENT,Harper 230 kV,Dominion,254.10,Wind
AF1-125,PJM,2019-09-17,Done,,2032-12-31,TC1,FINAL AGREEMENT,Harper 230 kV,Dominion,249.30,Wind
AH1-226,PJM,2021-09-08,Withdrawn,2025-04-11,2025-12-01,TC2,PHASE 1,Clubhouse - Sapony 230 kV,Dominion,69.00,Solar
AG2-010,PJM,2020-10-09,Withdrawn,2025-11-19,2027-12-01,TC2,Decision Point 1,Peninsula-Whealton 115 kV,Dominion,75.96,Storage
AH1-065,PJM,2021-07-27,Withdrawn,2025-12-02,2027-10-31,TC2,Decision Point 1,Hopewell 34.5kV,Dominion,8.00,Storage
AG2-202,PJM,2021-03-04,Withdrawn,2025-03-11,2022-10-31,TC2,APPLICATION REVIEW,Reusens 12.47 kV,AEP,20.00,Storage
AH1-108,PJM,2021-08-04,Active,,,TC2,PHASE 2,Spruance NUG 230 kV,Dominion,9.00,Thermal
AH1-323,PJM,2021-09-09,Withdrawn,2025-12-03,2030-12-31,TC2,Decision Point 1,Elmont 230 kV,Dominion,100.00,Storage
AH1-730,PJM,,Withdrawn,2025-05-02,2028-04-30,TC2,RRI APPLICATION REVIEW,,Dominion,100.00,Storage
AE2-123,PJM,2019-02-28,Withdrawn,2024-06-24,2027-12-31,TC1,PHASE 1,Birdneck-Landstown 230 kV,Dominion,163.30,Wind
AE2-124,PJM,2019-02-28,Withdrawn,2024-06-24,2029-12-31,TC1,PHASE 1,Landstown 230 kV,Dominion,148.50,Wind
AH1-138,PJM,2021-07-30,Active,,,TC2,PHASE 2,Penniman 34.5 kV,Dominion,8.40,Solar
AH1-254,PJM,2021-09-10,Active,,,TC2,PHASE 2,Greenland Gap 500 kV II,APS,36.54,Wind
AG2-423,PJM,2021-03-30,Active,,,TC2,PHASE 2,Cherry Run - Harmony 138 kV,APS,48.00,Solar
AG2-582,PJM,2021-03-31,Active,,,TC2,PHASE 2,Flint Run 500 kV,APS,2075.00,Thermal
AG1-219,PJM,2020-09-23,Withdrawn,2024-06-21,2023-12-01,TC1,PHASE 1,Layland 69 kV,AEP,39.50,Hybrid
AG1-194,PJM,2020-09-18,Withdrawn,2025-01-22,2023-12-01,TC1,PHASE 2,Nuttall 138 kV,AEP,27.00,Hybrid
AG2-657,PJM,2021-03-31,Active,,,TC2,PHASE 2,Kanawha River - Carbondale 138 kV,AEP,37.80,Solar
AG2-655,PJM,2021-03-31,Withdrawn,2025-07-07,2024-06-30,TC2,PHASE 1,Mt. Storm-Bismark 500 kV,Dominion,210.00,Solar
AH1-255,PJM,2021-09-09,Withdrawn,2025-07-07,2025-07-31,TC2,PHASE 1,Greenland Gap III,APS,240.00,Storage
AH1-590,PJM,2021-09-10,Withdrawn,2025-07-08,2024-12-16,TC2,PHASE 1,Cherry Ridge 66 kV,APS,30.00,Solar
AH1-591,PJM,2021-09-10,Withdrawn,2025-07-08,2024-12-16,TC2,PHASE 1,Cherry Ridge 66kV,APS,30.00,Solar
AH1-592,PJM,2021-09-10,Withdrawn,2025-07-08,2024-12-16,TC2,PHASE 1,Cherry Ridge 66kV,APS,45.00,Storage
AH1-713,PJM,2025-04-07,Active,,,TC2,PHASE 2,Mt. Storm 500kV,Dominion,14.00,Thermal
AG2-062,PJM,2020-12-15,Active,,,TC2,PHASE 2,William 138 kV,APS,21.61,Wind
AH1-376,PJM,2021-09-10,Withdrawn,2025-04-22,2025-06-01,TC2,PHASE 1,Ronceverte - Clenden 46 kV,APS,16.80,Solar
AH1-387,PJM,2021-09-10,Active,,,TC2,PHASE 2,Meadowbrook-Greenland Gap  500kV,APS,22.05,Wind
AG2-403,PJM,2021-03-30,Withdrawn,2025-12-02,2029-11-15,TC2,Decision Point 1,Meadow Brook - Mt. Storm 500 kV,APS,52.50,Solar
AG2-404,PJM,2021-03-30,Withdrawn,2025-12-02,2029-11-15,TC2,Decision Point 1,Meadow Brook - Mt. Storm 500 kV II,APS,52.50,Solar
AH1-426,PJM,2021-09-11,Withdrawn,2025-12-01,2029-12-31,TC2,Decision Point 1,Gilboa-Jones Branch 138 kV IV,APS,64.60,Storage
AG2-448,PJM,2021-03-30,Active,,,TC2,PHASE 2,Cross School - Westvaco 138 kV,APS,30.00,Solar
AG2-314,PJM,2021-03-25,Withdrawn,2024-11-27,2024-05-01,TC2,APPLICATION PHASE,Gilboa-Jones Branch 138 kV III,APS,67.00,Storage
AH1-426A,PJM,2021-09-11,Withdrawn,2025-12-01,2029-12-31,TC2,Decision Point 1,Gilboa-Jones Branch 138 kV V,APS,32.30,Storage
AH1-340,PJM,2021-09-10,Withdrawn,2025-11-13,2027-12-31,TC2,Decision Point 1,Cheat Lake-Ruthbelle 138 kV,APS,29.33,Solar
AG2-658,PJM,2021-03-31,Withdrawn,2025-11-18,2028-06-01,TC2,Decision Point 1,Cowen 138 kV,APS,135.30,Solar
AE2-138,PJM,2019-03-08,Withdrawn,2025-01-22,2022-06-01,TC1,PHASE 1,Avon-North Clark 345 kV,EKPC,20.80,Solar
AE2-210,PJM,2019-03-20,Withdrawn,2025-01-22,2022-06-01,TC1,PHASE 1,Avon-North Clark 345 kV,EKPC,7.20,Solar
AG2-184,PJM,2021-02-27,Active,,2028-12-31,TC2,PHASE 2,Harbert Metering 138 kV,AEP,126.00,Solar
AF2-111,PJM,2020-02-28,Done,,2030-06-30,TC1,FINAL AGREEMENT,North Clark-Spurlock 345 kV,EKPC,150.00,Solar
AH1-756,PJM,,Withdrawn,2025-05-02,2030-12-31,TC2,RRI APPLICATION REVIEW,,Duke,250.00,Storage
AH1-281,PJM,2021-09-09,Withdrawn,2025-12-02,2027-09-15,TC2,Decision Point 1,Bluegrass Parkway Tap - Woodlawn 69 kV,EKPC,12.00,Solar
AH1-446,PJM,2021-09-10,Withdrawn,2025-03-20,2024-12-02,TC2,APPLICATION REVIEW,Sanders DP - Westmoreland 230 kV,Dominion,19.50,Hybrid
AH1-637,PJM,2021-09-13,Active,,,TC2,PHASE 2,Oak Grove 34.5 kV,Dominion,9.60,Solar
AG2-469,PJM,2021-03-31,Withdrawn,2025-12-04,2030-12-31,TC2,Decision Point 1,Westmoreland - Oak Grove 230 kV,Dominion,48.00,Solar
AH1-753,PJM,,Withdrawn,2025-05-02,2019-09-13,TC2,RRI APPLICATION REVIEW,,AEP,396.00,Thermal
AH1-188,PJM,2021-08-31,Active,,,TC2,PHASE 2,Pigeon Creek 138 kV,AEP,84.00,Solar
AG2-354,PJM,2021-03-26,Withdrawn,2025-02-06,2024-09-30,TC2,APPLICATION REVIEW,Ragland - Grant Branch 138 kV,AEP,72.92,Hybrid
AG2-440,PJM,2021-03-30,Active,,,TC2,PHASE 2,Twittys Creek - Madisonville 115 kV,Dominion,45.00,Solar
AG2-441,PJM,2021-03-30,Active,,,TC2,PHASE 2,Twittys Creek - Madisonville 115 kV,Dominion,67.80,Solar
AG2-442,PJM,2021-03-30,Active,,,TC2,PHASE 2,Twittys Creek - Madisonville 115 kV,Dominion,84.00,Solar
AG2-077,PJM,2021-01-19,Active,,,TC2,PHASE 2,Clover-Rawlings 500 kV,Dominion,120.00,Solar
AF2-222,PJM,2020-03-25,Done,,2031-03-01,TC1,FINAL AGREEMENT,Madisonville DP-Twitty's Creek 115 kV,Dominion,100.00,Solar
AG1-272,PJM,2020-09-29,Withdrawn,2025-01-22,2022-03-01,TC1,PHASE 2,Twitty's Creek 115 kV,Dominion,6.00,Hybrid
AG1-273,PJM,2020-09-28,Withdrawn,2025-01-22,2022-06-01,TC1,PHASE 2,Twitty's Creek 115 kV,Dominion,6.00,Hybrid
AG1-274,PJM,2020-09-28,Withdrawn,2025-01-22,2022-06-01,TC1,PHASE 2,Twitty's Creek 115 kV,Dominion,6.00,Hybrid
AG1-285,PJM,2020-09-28,Done,,2031-04-30,TC1,FINAL AGREEMENT,Chase City-Central 115 kV,Dominion,75.00,Solar
AG1-185,PJM,2020-09-17,Withdrawn,2024-06-24,2023-06-30,TC1,PHASE 1,Pamplin-Chase City 115 kV,Dominion,48.91,Storage
AG1-181,PJM,2020-09-17,Withdrawn,2024-06-24,2023-06-30,TC1,PHASE 1,Pamplin-Chase City 115 kV,Dominion,101.09,Solar
AG1-384,PJM,2020-09-30,Withdrawn,2025-01-22,2022-06-01,TC1,PHASE 2,Twitty's Creek 115 kV,Dominion,6.00,Hybrid
AH1-215,PJM,2021-09-09,Withdrawn,2025-12-02,2028-11-30,TC2,Decision Point 1,Central VA-Twitty 115 kV,Dominion,18.90,Hybrid
AF1-278,PJM,2019-09-30,Withdrawn,2024-06-21,2024-06-29,TC1,PHASE 1,Lewis Run-Pierce Brook 3 230 kV,PENELEC,53.44,Solar
AH1-666,PJM,2019-09-30,Active,,,TC2,PHASE 2,Flemingsburg - Spurlock 138 kV,EKPC,48.00,Solar
AF1-233,PJM,2019-09-27,Done,,2029-03-31,TC1,FINAL AGREEMENT,Flemingsburg – Spurlock 138kV,EKPC,113.10,Solar
AH1-665,PJM,2019-01-23,Active,,,TC2,PHASE 2,Goddard-Plumsville 138 kV II,EKPC,53.50,Solar
AH1-664,PJM,2018-09-24,Active,,,TC2,PHASE 2,Goddard-Plumville 138 kV,EKPC,66.80,Solar
AH1-429,PJM,2021-09-10,Withdrawn,2025-07-03,2026-09-01,TC2,PHASE 1,Flemingsburg - Spurlock 138 kV,EKPC,54.00,Solar
AH1-034,PJM,2021-06-14,Withdrawn,2025-12-02,2029-12-31,TC2,Decision Point 1,Patton Road Junction - Summer Shade 69 kV,EKPC,70.00,Solar
AG1-070,PJM,2020-07-30,Withdrawn,2025-11-03,2024-06-01,TC1,PHASE 3,Bon Ayr 69 kV,EKPC,32.70,Solar
AG1-071,PJM,2020-07-30,Withdrawn,2025-11-03,2024-06-01,TC1,PHASE 3,Bon Ayr 69 kV,EKPC,37.50,Solar
AG1-154,PJM,2020-09-10,Withdrawn,2025-11-03,2023-12-01,TC1,PHASE 3,Ladysmith CT 230 kV,Dominion,20.00,Storage
AG1-412,PJM,2020-09-30,Withdrawn,2025-01-22,2023-12-01,TC1,PHASE 2,Ladysmith CT-Mine Road 230 kV,Dominion,80.00,Storage
AG2-320,PJM,2021-03-24,Withdrawn,2025-12-02,2031-07-01,TC2,Decision Point 1,Ladysmith 230 kV,Dominion,105.00,Storage
AH1-222,PJM,2021-09-08,Withdrawn,2025-04-29,2023-12-01,TC2,PHASE 1,Ladysmith CT 230 kV,Dominion,30.00,Storage
AH1-626,PJM,2021-09-10,Withdrawn,2025-01-14,2025-03-21,TC2,APPLICATION REVIEW,Ladysmith 230 kV,Dominion,62.50,Storage
AH1-627,PJM,2021-09-10,Withdrawn,2025-01-14,2025-03-21,TC2,APPLICATION REVIEW,Ladysmith 230 kV II,Dominion,62.50,Storage
AH1-694,PJM,2025-04-08,Active,,,TC2,PHASE 2,Ladysmith CT 230 kV,Dominion,18.00,Thermal
AH1-691,PJM,2025-04-08,Active,,,TC2,PHASE 2,Ladysmith CT 230 kV,Dominion,26.00,Thermal
AH1-692,PJM,2025-04-08,Active,,,TC2,PHASE 2,Ladysmith CT 230 kV,Dominion,26.00,Thermal
AH1-682,PJM,2025-04-04,Active,,,TC2,PHASE 2,Ladysmith CT 230 kV,Dominion,21.00,Thermal
AH1-683,PJM,2025-04-04,Active,,,TC2,PHASE 2,Ladysmith CT 230 kV,Dominion,25.00,Thermal
AH1-081,PJM,2021-07-30,Withdrawn,2025-05-05,2024-12-20,TC2,PHASE 1,Knob Lick 69kV,EKPC,36.00,Solar
AH1-082,PJM,2021-07-30,Withdrawn,2025-05-05,2024-12-20,TC2,PHASE 1,Knob Lick 69kV,EKPC,26.40,Solar
AH1-083,PJM,2021-07-30,Withdrawn,2025-05-05,2024-12-20,TC2,PHASE 1,Summer Shade - Green County 161 kV,EKPC,60.00,Solar
AG2-094,PJM,2021-01-27,Withdrawn,2025-05-05,2024-04-01,TC2,PHASE 1,Summer Shade-Green County 161 kV,EKPC,90.00,Solar
AG1-341,PJM,2020-09-30,Done,,2028-12-31,TC1,FINAL AGREEMENT,Summer Shade 161 kV,EKPC,63.60,Hybrid
AG1-306,PJM,2020-09-29,Withdrawn,2024-06-21,2023-10-01,TC1,PHASE 1,Fawkes-Dale 138 kV,EKPC,39.00,Solar
AE2-275,PJM,2019-03-28,Withdrawn,2025-01-22,2022-06-01,TC1,PHASE 1,J.K. Smith-Fawkes 138 kV,EKPC,7.20,Solar
AE2-308,PJM,2019-03-29,Done,,2029-01-31,TC1,FINAL AGREEMENT,Three Forks-Dale 138 kV,EKPC,60.00,Solar
AF2-348,PJM,2020-03-31,Withdrawn,2025-01-22,2022-07-01,TC1,DP2,North Clark-Spurlock 345 kV,EKPC,150.00,Solar
AF2-355,PJM,2020-03-31,Withdrawn,2025-01-22,2022-07-01,TC1,DP2,West Gerrard-J.K. Smith 345 kV,EKPC,135.00,Solar
AG2-073,PJM,2021-01-11,Active,,,TC2,PHASE 2,Crooksville 69 kV,EKPC,50.88,Solar
AG1-526,PJM,2020-09-30,Withdrawn,2025-11-03,2023-06-01,TC1,PHASE 3,West Garrard 345 kV,EKPC,133.20,Solar
AH1-004,PJM,2021-04-07,Active,,,TC2,PHASE 2,Avon - Renaker 138 kV,EKPC,24.00,Solar
AG2-670,PJM,2021-03-31,Withdrawn,2025-12-02,2029-12-31,TC2,Decision Point 1,Greensburg 69 kV,EKPC,45.00,Solar
AH1-751,PJM,,Withdrawn,2025-05-02,2029-09-30,TC2,RRI APPLICATION REVIEW,,EKPC,150.00,Storage
AG1-354,PJM,2020-09-30,Done,,2028-10-30,TC1,FINAL AGREEMENT,Summershade-Green County 161 kV,EKPC,90.00,Solar
AG2-553,PJM,2021-03-31,Withdrawn,2025-12-02,2029-05-31,TC2,Decision Point 1,Bullitt County 161 kV,EKPC,20.00,Storage
AF2-365,PJM,2020-03-31,Withdrawn,2025-11-03,2022-12-31,TC1,PHASE 3,Munfordville KU Tap-Horse Cave Jct. 69 kV,EKPC,30.00,Solar
AF2-391,PJM,2020-03-31,Withdrawn,2025-01-14,2023-06-15,TC1,PHASE 2,Central Hardin 69 kV,EKPC,72.00,Hybrid
AG1-320,PJM,2020-09-30,Done,,2029-12-31,TC1,FINAL AGREEMENT,Hodgenville-Stephensburg 69 kV,EKPC,54.80,Solar
AG2-081,PJM,2021-01-21,Active,,,TC2,PHASE 2,Avon - Renaker 138 kV,EKPC,18.00,Solar
AG2-298,PJM,2021-03-23,Active,,,TC2,PHASE 2,Sulphur Creek-Loretto 69 kV,EKPC,23.33,Solar
AG1-488,PJM,2020-09-30,Withdrawn,2024-06-21,2022-09-30,TC1,PHASE 1,Marion Co 161 kV,EKPC,42.00,Solar
AG1-405,PJM,2020-09-30,Withdrawn,2025-11-03,2024-09-25,TC1,PHASE 3,Walnut Grove-Asahi 69 kV,EKPC,34.20,Solar
AG1-406,PJM,2020-09-30,Withdrawn,2025-11-03,2024-09-25,TC1,PHASE 3,Walnut Grove-Asahi 69 kV,EKPC,22.00,Storage
AG1-353,PJM,2020-09-30,Withdrawn,2025-01-22,2023-12-31,TC1,PHASE 1,Green County-Marion County 161 kV,EKPC,58.80,Solar
AF2-307,PJM,2020-03-30,Withdrawn,2025-11-03,2023-09-01,TC1,PHASE 3,Hope-Belvins Valley Tap 69 kV,EKPC,39.60,Solar
AH1-463,PJM,2021-09-10,Withdrawn,2025-04-22,2024-12-31,TC2,PHASE 1,Owingsville - Preston 69 kV,EKPC,39.00,Solar
AF1-116,PJM,2019-09-12,Withdrawn,2025-02-28,2023-12-29,TC1,DP2,Marion County 161 kV,EKPC,72.00,Solar
AG2-179,PJM,2021-02-26,Withdrawn,2025-12-04,2027-11-19,TC2,Decision Point 1,Sewellton Junction 69 kV,EKPC,57.00,Hybrid
AG2-424,PJM,2021-03-30,Active,,,TC2,PHASE 2,Summersville - Magnolia 69 kV,EKPC,34.95,Hybrid
C01-1013,PJM,2025-05-30,Withdrawn,2025-06-02,2028-06-30,C01,Application Submission,,PEPCO,108.00,Thermal
C01-1024,PJM,2026-02-27,Withdrawn,2026-03-19,2028-08-01,C01,Application Submission,,Dominion,250.00,Storage
C01-1129,PJM,2026-02-16,Withdrawn,2026-02-18,2027-06-25,C01,Application Submission,,Dominion,100.00,Thermal
